Distance,Calories,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Min Temp,Max Temp,Avg Resp,Min Resp,Max Resp,Min Elevation,Max Elevation
40.25,1211.00,123.00,162.00,3.40,14.80,30.00,1470.00,1480.00,78.00,117.00,127.00,89.90,120.00,104.00,415.00,10082.00,82.40,84.00,25.00,13.00,37.00,8.00,219.00
73.61,2195.00,130.00,161.00,3.90,14.50,35.70,1870.00,1906.00,76.00,116.00,123.00,155.70,118.00,102.00,486.00,18153.00,73.40,90.00,26.00,12.00,38.00,-18.00,205.00
62.43,2011.00,153.00,173.00,5.00,18.80,27.50,764.00,784.00,84.00,113.00,161.00,177.50,184.00,147.00,451.00,15576.00,77.00,86.00,34.00,15.00,40.00,24.00,292.00
100.25,3142.00,142.00,166.00,5.00,16.30,29.70,1893.00,1919.00,81.00,118.00,138.00,240.60,152.00,122.00,471.00,26032.00,68.00,84.00,30.00,12.00,38.00,7.00,165.00
35.96,1071.00,131.00,159.00,3.20,13.40,36.40,1066.00,1056.00,73.00,110.00,116.00,74.30,93.00,91.00,372.00,8679.00,86.00,90.00,26.00,12.00,36.00,26.00,337.00
40.45,1383.00,144.00,172.00,5.00,17.30,37.40,1430.00,1483.00,81.00,111.00,169.00,137.30,174.00,144.00,426.00,9967.00,73.40,84.00,30.00,15.00,40.00,-77.00,117.00
36.31,1151.00,136.00,164.00,4.20,16.00,27.70,860.00,906.00,78.00,116.00,140.00,92.00,132.00,121.00,457.00,8905.00,77.00,93.00,28.00,13.00,38.00,-51.00,156.00
39.03,1241.00,147.00,167.00,4.90,16.20,29.30,951.00,961.00,82.00,105.00,139.00,95.00,138.00,123.00,433.00,10251.00,80.60,85.00,31.00,15.00,39.00,-30.00,173.00
75.65,1888.00,142.00,181.00,5.00,20.10,56.70,4003.00,4006.00,82.00,125.00,167.00,189.20,180.00,135.00,452.00,14278.00,68.00,89.00,30.00,12.00,42.00,8.00,744.00
16.85,584.00,145.00,170.00,1.40,13.40,25.80,725.00,492.00,79.00,119.00,136.00,47.30,124.00,109.00,397.00,4792.00,84.20,83.00,28.00,17.00,38.00,-18.00,287.00
7.13,209.00,122.00,175.00,2.50,13.00,24.00,259.00,279.00,77.00,103.00,111.00,13.90,80.00,84.00,301.00,1852.00,66.20,89.00,19.00,19.00,19.00,28.00,115.00
102.57,3254.00,147.00,184.00,5.00,16.30,31.60,3556.00,3337.00,81.00,121.00,140.00,255.50,157.00,122.00,438.00,27366.00,64.40,78.00,30.00,30.00,30.00,-5.00,661.00
5.15,143.00,123.00,149.00,2.20,11.90,21.70,164.00,171.00,77.00,108.00,93.00,7.50,62.00,71.00,281.00,1530.00,71.60,78.00,28.00,17.00,38.00,-8.00,129.00
46.24,1509.00,151.00,179.00,5.00,16.20,32.10,1808.00,1824.00,82.00,112.00,148.00,128.90,138.00,125.00,465.00,11860.00,75.20,73.00,28.00,17.00,38.00,3.00,199.00
23.33,704.00,135.00,159.00,3.30,13.90,31.30,728.00,699.00,79.00,110.00,120.00,48.70,103.00,96.00,382.00,6195.00,82.40,91.00,28.00,17.00,38.00,-19.00,154.00
102.76,3117.00,151.00,175.00,5.00,15.90,29.00,1916.00,1982.00,84.00,121.00,126.00,213.10,133.00,112.00,434.00,28290.00,64.40,74.00,28.00,17.00,38.00,-2.00,155.00
39.07,1209.00,148.00,179.00,5.00,15.20,27.30,978.00,945.00,81.00,113.00,126.00,84.60,116.00,109.00,416.00,10448.00,60.80,72.00,28.00,17.00,38.00,-5.00,247.00
31.63,998.00,137.00,171.00,4.10,14.90,25.90,896.00,889.00,80.00,109.00,132.00,76.40,119.00,109.00,384.00,8059.00,68.00,64.00,28.00,17.00,38.00,-31.00,127.00
29.70,1023.00,144.00,187.00,5.00,14.20,26.40,951.00,978.00,77.00,111.00,146.00,92.30,135.00,114.00,475.00,7225.00,62.60,66.00,28.00,17.00,38.00,-22.00,239.00
24.32,787.00,145.00,170.00,0.70,14.60,28.70,1024.00,1033.00,76.00,104.00,153.00,79.30,141.00,112.00,415.00,5403.00,59.00,58.00,28.00,17.00,38.00,-10.00,331.00
103.31,3211.00,145.00,179.00,5.00,14.90,40.60,5194.00,5072.00,82.00,125.00,132.00,248.30,141.00,107.00,507.00,28786.00,55.40,63.00,28.00,17.00,38.00,38.00,705.00
26.48,832.00,145.00,170.00,1.30,14.00,32.50,1250.00,1240.00,76.00,106.00,127.00,62.50,123.00,101.00,482.00,6706.00,48.20,53.00,28.00,17.00,38.00,-16.00,163.00
49.70,1600.00,143.00,174.00,4.80,14.90,27.10,2005.00,1965.00,79.00,117.00,138.00,136.00,144.00,112.00,493.00,12663.00,57.20,62.00,28.00,17.00,38.00,-5.00,205.00
35.15,1162.00,143.00,174.00,4.40,14.60,27.40,1371.00,1371.00,75.00,107.00,151.00,118.20,152.00,112.00,465.00,8286.00,53.60,61.00,28.00,17.00,38.00,-15.00,156.00
40.70,1340.00,145.00,170.00,1.10,14.00,27.60,1647.00,1677.00,78.00,108.00,147.00,133.50,150.00,107.00,450.00,9948.00,48.20,52.00,28.00,17.00,38.00,-27.00,127.00
