Activity Type,Date,Title,Time,Moving Time,Elapsed Time,Distance,Calories,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Max Avg Power (20 min),Avg Power,Max Power,Number of Laps,Min Elevation,Max Elevation
Virtual Cycling,8/26/22 15:53,Zwift - 2x15 High Tempo in Makuri Islands,1:00:15,0:59:58,1:00:25,21.19,565,147,176,21.1,33.6,558.00,84,98,181,186,163,291,8,400,657.00
Virtual Cycling,8/25/22 21:11,Zwift - Makuri Islands,0:37:12,0:37:07,0:37:11,9.96,233,123,132,16.1,31.6,564.00,87,119,111,111,109,217,13,400,628.00
Virtual Cycling,8/24/22 21:09,Zwift - Watopia,0:53:43,0:53:41,0:53:42,17.44,465,141,172,19.5,33.8,361.00,86,98,181,187,151,245,12,-20,51.00
Virtual Cycling,8/23/22 20:46,Zwift - Endurance 1HR in Makuri Islands,1:10:25,1:10:20,1:10:24,23.8,612,140,155,20.3,35.1,817.00,83,112,156,173,151,181,15,400,628.00
Virtual Cycling,8/17/22 21:31,Zwift - Endurance 1HR in Makuri Islands,1:05:22,1:05:18,1:05:21,23.19,604,52,171,21.3,28.2,600.00,84,95,169,189,161,201,15,400,433.00
Virtual Cycling,8/16/22 20:52,Zwift - Makuri Islands,1:01:30,1:01:26,1:01:29,14.4,563,151,174,14,35.7,1316.00,85,99,179,185,159,212,10,527,930.00
Virtual Cycling,8/14/22 21:09,Zwift - just spinning,0:28:22,0:25:26,0:28:21,7.52,152,114,143,15.9,29.9,335.00,79,101,111,116,93,220,1,391,418.00
Virtual Cycling,8/11/22 18:02,Zwift - Group Ride: Off the MAAP - Stage 3 on Volcano Climb in Watopia,0:48:19,0:47:30,0:48:18,14.41,359,136,168,17.9,34.8,666.00,84,104,155,172,129,346,1,-20,432.00
Virtual Cycling,8/10/22 20:53,Zwift - Makuri Islands,0:53:47,0:53:42,0:53:46,12.56,468,132,174,14,37.9,1027.00,84,98,180,187,151,244,12,599,930.00
Virtual Cycling,8/7/22 14:41,Zwift - Twilight Harbor in Makuri Islands,0:27:26,0:26:22,0:27:27,8.79,213,142,155,19.2,26.4,230.00,77,92,146,144,138,265,1,402,433.00
Virtual Cycling,8/7/22 14:04,Zwift - Group Ride: Off the MAAP - Stage 2 on Castle to Castle in Makuri Islands,0:34:12,0:34:07,0:34:22,12.66,329,153,165,22.2,34.8,443.00,83,97,171,174,167,285,1,402,645.00
Virtual Cycling,8/7/22 13:12,Zwift - Group Ride: Off the MAAP - Stage 2 on Temples and Towers in Makuri Islands,0:51:45,0:51:40,0:52:03,15.87,410,133,160,18.4,37.3,774.00,85,96,151,165,137,292,1,409,930.00
Virtual Cycling,8/4/22 19:16,Richmond Virtual Cycling,0:59:05,0:59:03,0:59:04,18.84,480,144,173,19.1,42,1155.00,90,106,187,166,141,419,1,14,180.00
Virtual Cycling,8/4/22 9:58,Zwift - Endurance 1HR in Makuri Islands,1:00:33,1:00:20,1:00:33,20.53,500,140,155,20.3,31.8,2457.00,85,102,152,165,149,244,14,0,380.00
Virtual Cycling,8/2/22 21:04,Zwift - 3x10 High Tempo on Tempus Fugit in Watopia,1:06:33,1:06:00,1:06:32,23.1,578,146,175,20.8,27.3,190.00,88,103,176,185,151,212,10,41,58.00
Virtual Cycling,8/1/22 21:08,Zwift - Classique in London,0:24:46,0:24:41,0:24:54,7.47,129,118,145,18.1,29.3,92.00,92,139,101,93,90,377,1,38,86.00
Virtual Cycling,7/28/22 21:05,Zwift - Endurance 1HR in Makuri Islands,1:01:19,1:01:16,1:01:18,15.21,557,149,157,14.9,37.4,1299.00,82,95,162,165,158,209,15,527,930.00
Virtual Cycling,7/27/22 21:08,Zwift - Makuri Islands,0:53:40,0:53:34,0:53:39,15.76,469,147,177,17.6,39,909.00,83,93,182,188,152,244,12,409,930.00
Virtual Cycling,7/24/22 16:25,Zwift - Makuri Islands,1:04:31,1:04:09,1:04:51,23.04,644,154,169,21.4,36.8,981.00,83,108,180,200,173,314,15,410,657.00
Virtual Cycling,7/22/22 18:22,Zwift - Tempus Fugit in Watopia,0:54:53,0:50:10,0:54:52,16.85,391,111,178,18.4,29,138.00,85,101,169,177,129,243,12,41,58.00
Virtual Cycling,7/21/22 21:54,Zwift - spinning,0:31:58,0:30:28,0:31:57,8.73,170,122,154,16.4,26.1,69.00,82,110,123,119,103,341,1,41,58.00
Virtual Cycling,7/20/22 19:07,Zwift - Endurance 1HR in New York,1:23:55,1:23:51,1:23:54,25.14,740,148,160,18,47.6,2195.00,84,103,159,165,153,323,15,14,436.00
Virtual Cycling,7/19/22 18:41,Zwift - Whole Lotta Lava in Watopia,1:00:19,1:00:14,1:00:18,18.89,481,144,175,18.8,33.4,1188.00,85,99,173,181,139,313,1,7,432.00
Virtual Cycling,7/16/22 21:17,Zwift - Cobbled Climbs in Richmond,0:44:19,0:44:14,0:44:18,13.7,347,141,175,18.5,39.6,797.00,88,106,175,168,136,344,1,14,180.00
Virtual Cycling,7/14/22 18:54,Zwift - Endurance 1HR in France,1:10:36,1:10:30,1:10:35,21.8,577,137,162,18.5,38.5,938.00,85,97,147,159,142,183,15,34,396.00
Virtual Cycling,7/13/22 22:00,Zwift - Tempus Fugit in Watopia,1:07:22,1:04:59,1:07:21,21.9,533,146,177,19.5,28.7,174.00,84,109,185,175,139,361,1,41,58.00
Virtual Cycling,7/12/22 18:24,Zwift - Endurance 1HR on Tempus Fugit in Watopia,1:33:04,1:32:37,1:33:03,32.97,781,146,172,21.3,27.2,259.00,83,97,157,174,146,310,15,41,58.00
Virtual Cycling,7/10/22 15:30,Zwift - Tour Of Tewit Well in Yorkshire,1:04:20,1:04:12,1:04:18,18.08,561,152,176,16.9,39.6,1896.00,87,108,180,188,152,326,1,318,599.00
